# J dE
3.100000000000000089e+00 1.217471869556208475e+01
3.100000000000000089e+00 1.227762290565647341e+01
3.100000000000000089e+00 1.242066118981161971e+01
3.100000000000000089e+00 1.242066118981226275e+01
3.100000000000000089e+00 1.268160535673028200e+01
3.100000000000000089e+00 1.268160535673058931e+01
3.100000000000000089e+00 1.273046973995173659e+01
3.100000000000000089e+00 1.273046973995191955e+01
3.100000000000000089e+00 1.280843710453322970e+01
3.100000000000000089e+00 1.280843710453395090e+01
3.100000000000000089e+00 1.383881057653856317e+01
3.100000000000000089e+00 1.383881057654017788e+01
3.100000000000000089e+00 1.398393400137693376e+01
3.100000000000000089e+00 1.398393400137786458e+01
3.100000000000000089e+00 1.417572159267858289e+01
3.100000000000000089e+00 1.417572159267960075e+01
3.100000000000000089e+00 1.499706252951894925e+01
3.100000000000000089e+00 1.499706252951918017e+01
3.399999999999999911e+00 0.000000000000000000e+00
3.399999999999999911e+00 2.735589532676385716e-13
3.399999999999999911e+00 2.854287157793400809e+00
3.399999999999999911e+00 5.503293271589352997e+00
3.399999999999999911e+00 5.503293271590592894e+00
3.399999999999999911e+00 6.810172507028944722e+00
3.399999999999999911e+00 6.810172507029225386e+00
3.399999999999999911e+00 7.224835343400659582e+00
3.399999999999999911e+00 7.224835343400723531e+00
3.399999999999999911e+00 9.396549168151111076e+00
3.399999999999999911e+00 9.396549168151800302e+00
3.399999999999999911e+00 1.043987883295447006e+01
3.399999999999999911e+00 1.117813888955770096e+01
3.399999999999999911e+00 1.117813888955889468e+01
3.399999999999999911e+00 1.198397478245691516e+01
3.399999999999999911e+00 1.207581755751339792e+01
3.399999999999999911e+00 1.207581755751381891e+01
3.399999999999999911e+00 1.228196287398923303e+01
3.399999999999999911e+00 1.228196287399026509e+01
3.399999999999999911e+00 1.253996089636427236e+01
3.399999999999999911e+00 1.253996089636475908e+01
3.399999999999999911e+00 1.262536342814614621e+01
3.399999999999999911e+00 1.262536342814625456e+01
3.399999999999999911e+00 1.262564891526937672e+01
3.399999999999999911e+00 1.262564891527010325e+01
3.399999999999999911e+00 1.267577017274266638e+01
3.399999999999999911e+00 1.301671780510878484e+01
3.399999999999999911e+00 1.301671780510909393e+01
3.399999999999999911e+00 1.321606909710690836e+01
3.399999999999999911e+00 1.321606909710694744e+01
3.399999999999999911e+00 1.330671491795681582e+01
3.399999999999999911e+00 1.330671491795717287e+01
3.399999999999999911e+00 1.431103366708588887e+01
3.399999999999999911e+00 1.431103366708618552e+01
3.399999999999999911e+00 1.446464110140347969e+01
3.399999999999999911e+00 1.446464110140383319e+01
3.399999999999999911e+00 1.456144835339302190e+01
3.399999999999999911e+00 1.456144835339393850e+01
6.999999999999999556e-01 0.000000000000000000e+00
6.999999999999999556e-01 6.217248937900876626e-15
6.999999999999999556e-01 3.997209837489634765e-04
6.999999999999999556e-01 1.483164619808167473e+01
6.999999999999999556e-01 1.483164619808202289e+01
6.999999999999999556e-01 1.485491370431185842e+01
6.999999999999999556e-01 1.485491370431188685e+01
6.999999999999999556e-01 1.486256087185694241e+01
6.999999999999999556e-01 1.486256087185796559e+01
6.999999999999999556e-01 1.487964772922699552e+01
6.999999999999999556e-01 1.487964772922719092e+01
6.999999999999999556e-01 1.489551065017563047e+01
5.000000000000000000e-01 0.000000000000000000e+00
5.000000000000000000e-01 5.639932965095795225e-14
5.000000000000000000e-01 4.881527782085726130e-05
2.399999999999999911e+00 0.000000000000000000e+00
2.399999999999999911e+00 2.167155344068305567e-13
2.399999999999999911e+00 6.470140922292060282e-01
2.399999999999999911e+00 7.181065177053460147e+00
2.399999999999999911e+00 7.181065177053553406e+00
2.399999999999999911e+00 7.455867102484973863e+00
2.399999999999999911e+00 7.455867102485094655e+00
2.399999999999999911e+00 8.294868392661900458e+00
2.399999999999999911e+00 8.294868392662191781e+00
2.399999999999999911e+00 9.384358221236890785e+00
2.399999999999999911e+00 9.384358221237572906e+00
2.399999999999999911e+00 9.893428903218357107e+00
2.399999999999999911e+00 1.086525425702404846e+01
2.399999999999999911e+00 1.086525425702421543e+01
2.399999999999999911e+00 1.125438314763903591e+01
2.399999999999999911e+00 1.125438314763967540e+01
2.399999999999999911e+00 1.195334760308924160e+01
2.399999999999999911e+00 1.195334760308998767e+01
2.399999999999999911e+00 1.203074454664260706e+01
2.399999999999999911e+00 1.203074454664263016e+01
2.399999999999999911e+00 1.205839219043559218e+01
2.399999999999999911e+00 1.214728374914092157e+01
2.399999999999999911e+00 1.214728374914122888e+01
2.399999999999999911e+00 1.230657033997979610e+01
2.399999999999999911e+00 1.253133652660492636e+01
2.399999999999999911e+00 1.253133652660562980e+01
2.399999999999999911e+00 1.255413806032884239e+01
2.399999999999999911e+00 1.255413806032972701e+01
2.399999999999999911e+00 1.280951015602169640e+01
2.399999999999999911e+00 1.280951015602232346e+01
2.399999999999999911e+00 1.286155524510263248e+01
2.399999999999999911e+00 1.286155524510382619e+01
2.399999999999999911e+00 1.363902917113318125e+01
2.399999999999999911e+00 1.363902917113363067e+01
2.399999999999999911e+00 1.370470641509776222e+01
2.399999999999999911e+00 1.370470641509785281e+01
2.399999999999999911e+00 1.417883822929703008e+01
2.399999999999999911e+00 1.417883822929713311e+01
2.399999999999999911e+00 1.423740209169179671e+01
2.399999999999999911e+00 1.423740209169212356e+01
2.399999999999999911e+00 1.438292939633836198e+01
2.399999999999999911e+00 1.438292939633903345e+01
2.399999999999999911e+00 1.444900052343170671e+01
2.399999999999999911e+00 1.444900052343198382e+01
2.399999999999999911e+00 1.455764992054980134e+01
2.399999999999999911e+00 1.455764992055016904e+01
2.399999999999999911e+00 1.457191541974700577e+01
2.399999999999999911e+00 1.457191541974721360e+01
2.399999999999999911e+00 1.477302289127160506e+01
2.399999999999999911e+00 1.487768190794374945e+01
2.399999999999999911e+00 1.487768190794419709e+01
1.399999999999999911e+00 0.000000000000000000e+00
1.399999999999999911e+00 4.440892098500626162e-15
1.399999999999999911e+00 2.995452586840752218e-02
1.399999999999999911e+00 1.146259714935258600e+01
1.399999999999999911e+00 1.146259714935361274e+01
1.399999999999999911e+00 1.159041179353525486e+01
1.399999999999999911e+00 1.159041179353672746e+01
1.399999999999999911e+00 1.179350247565770893e+01
1.399999999999999911e+00 1.179350247565844967e+01
1.399999999999999911e+00 1.200486551047058015e+01
1.399999999999999911e+00 1.200486551047185912e+01
1.399999999999999911e+00 1.210535633867991123e+01
1.399999999999999911e+00 1.359990654981532998e+01
1.399999999999999911e+00 1.359990654981635316e+01
1.399999999999999911e+00 1.392124538621870400e+01
1.399999999999999911e+00 1.392124538621995633e+01
1.399999999999999911e+00 1.414308759373562907e+01
1.399999999999999911e+00 1.414308759373653857e+01
1.399999999999999911e+00 1.432340012719825495e+01
1.399999999999999911e+00 1.432340012719834021e+01
1.399999999999999911e+00 1.467106556015819763e+01
1.399999999999999911e+00 1.467106556015859198e+01
1.399999999999999911e+00 1.482500412799170064e+01
1.399999999999999911e+00 1.485428639647271964e+01
1.399999999999999911e+00 1.486698074289115468e+01
1.399999999999999911e+00 1.486698074289188476e+01
1.399999999999999911e+00 1.490854973880961332e+01
1.399999999999999911e+00 1.490854973881015688e+01
1.399999999999999911e+00 1.498162902720318179e+01
1.399999999999999911e+00 1.498162902720491019e+01
2.200000000000000178e+00 0.000000000000000000e+00
2.200000000000000178e+00 4.902744876744691283e-13
2.200000000000000178e+00 4.114244914046381041e-01
2.200000000000000178e+00 7.860922028274583084e+00
2.200000000000000178e+00 7.860922028274936579e+00
2.200000000000000178e+00 8.054547703308093887e+00
2.200000000000000178e+00 8.054547703309115292e+00
2.200000000000000178e+00 8.829344074683611154e+00
2.200000000000000178e+00 8.829344074684179589e+00
2.200000000000000178e+00 9.705982009543852485e+00
2.200000000000000178e+00 9.705982009544044331e+00
2.200000000000000178e+00 1.010462944937351182e+01
2.200000000000000178e+00 1.103264879669334420e+01
2.200000000000000178e+00 1.103264879669372789e+01
2.200000000000000178e+00 1.160399594940731838e+01
2.200000000000000178e+00 1.160399594940738766e+01
2.200000000000000178e+00 1.222342786003667392e+01
2.200000000000000178e+00 1.222342786003767223e+01
2.200000000000000178e+00 1.233361697756091147e+01
2.200000000000000178e+00 1.233361697756142839e+01
2.200000000000000178e+00 1.245445573016372087e+01
2.200000000000000178e+00 1.245445573016382923e+01
2.200000000000000178e+00 1.248841245248951282e+01
2.200000000000000178e+00 1.261340208930959506e+01
2.200000000000000178e+00 1.278384208275686618e+01
2.200000000000000178e+00 1.278384208275738843e+01
2.200000000000000178e+00 1.279190121970412974e+01
2.200000000000000178e+00 1.279190121970463245e+01
2.200000000000000178e+00 1.319502402355424131e+01
2.200000000000000178e+00 1.319502402355465875e+01
2.200000000000000178e+00 1.320755227946991184e+01
2.200000000000000178e+00 1.320755227946991894e+01
2.200000000000000178e+00 1.380494580014453199e+01
2.200000000000000178e+00 1.380494580014483041e+01
2.200000000000000178e+00 1.386059470779145286e+01
2.200000000000000178e+00 1.386059470779176550e+01
2.200000000000000178e+00 1.419025362740249818e+01
2.200000000000000178e+00 1.419025362740255147e+01
2.200000000000000178e+00 1.439265324443106309e+01
2.200000000000000178e+00 1.439265324443161909e+01
2.200000000000000178e+00 1.452379661029907432e+01
2.200000000000000178e+00 1.453508534169511890e+01
2.200000000000000178e+00 1.453508534169560029e+01
2.200000000000000178e+00 1.455105133910681658e+01
2.200000000000000178e+00 1.455105133910735304e+01
2.200000000000000178e+00 1.456531159010526366e+01
2.200000000000000178e+00 1.456531159010543242e+01
2.200000000000000178e+00 1.464489397986852559e+01
2.200000000000000178e+00 1.464489397986892882e+01
2.200000000000000178e+00 1.497237753768728652e+01
2.200000000000000178e+00 1.497237753768784430e+01
3.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 2.380318164796335623e-13
3.000000000000000000e+00 1.795415131934166908e+00
3.000000000000000000e+00 5.867020739827985665e+00
3.000000000000000000e+00 5.867020739828102904e+00
3.000000000000000000e+00 6.659579066493666488e+00
3.000000000000000000e+00 6.659579066493703792e+00
3.000000000000000000e+00 7.363164366138729378e+00
3.000000000000000000e+00 7.363164366139409722e+00
3.000000000000000000e+00 9.106839397819449289e+00
3.000000000000000000e+00 9.106839397819712190e+00
3.000000000000000000e+00 9.965089929636469890e+00
3.000000000000000000e+00 1.091312104222193824e+01
3.000000000000000000e+00 1.091312104222264878e+01
3.000000000000000000e+00 1.145266528055841349e+01
3.000000000000000000e+00 1.145266528055882560e+01
3.000000000000000000e+00 1.162882951756963479e+01
3.000000000000000000e+00 1.180701189849187038e+01
3.000000000000000000e+00 1.180701189849278165e+01
3.000000000000000000e+00 1.182855643997288198e+01
3.000000000000000000e+00 1.182855643997345396e+01
3.000000000000000000e+00 1.206765569946783856e+01
3.000000000000000000e+00 1.206765569946881200e+01
3.000000000000000000e+00 1.219128382918821352e+01
3.000000000000000000e+00 1.239394545290160465e+01
3.000000000000000000e+00 1.239394545290255500e+01
3.000000000000000000e+00 1.261244776561449221e+01
3.000000000000000000e+00 1.261244776561491676e+01
3.000000000000000000e+00 1.261658740445178850e+01
3.000000000000000000e+00 1.261658740445307814e+01
3.000000000000000000e+00 1.268315190796743330e+01
3.000000000000000000e+00 1.268315190796758074e+01
3.000000000000000000e+00 1.372499470391775311e+01
3.000000000000000000e+00 1.372499470391807463e+01
3.000000000000000000e+00 1.386673718576157199e+01
3.000000000000000000e+00 1.386673718576210845e+01
3.000000000000000000e+00 1.409568226532367774e+01
3.000000000000000000e+00 1.409568226532518764e+01
3.000000000000000000e+00 1.483461791294067211e+01
3.000000000000000000e+00 1.483461791294340770e+01
3.000000000000000000e+00 1.493670067358655018e+01
3.000000000000000000e+00 1.493670067358893050e+01
3.899999999999999911e+00 0.000000000000000000e+00
3.899999999999999911e+00 2.202682480856310576e-13
3.899999999999999911e+00 4.336026846494142717e+00
3.899999999999999911e+00 5.406073648891691619e+00
3.899999999999999911e+00 5.406073648891922545e+00
3.899999999999999911e+00 7.391935041403279172e+00
3.899999999999999911e+00 7.391935041403350226e+00
3.899999999999999911e+00 7.434431546627212839e+00
3.899999999999999911e+00 7.434431546627362053e+00
3.899999999999999911e+00 1.008398837551933269e+01
3.899999999999999911e+00 1.008398837551979454e+01
3.899999999999999911e+00 1.125364967871887956e+01
3.899999999999999911e+00 1.184645703073740464e+01
3.899999999999999911e+00 1.184645703073854861e+01
3.899999999999999911e+00 1.272139623236089179e+01
3.899999999999999911e+00 1.272139623236163075e+01
3.899999999999999911e+00 1.293814580390305480e+01
3.899999999999999911e+00 1.326484522548423683e+01
3.899999999999999911e+00 1.326484522548490830e+01
3.899999999999999911e+00 1.327438461132101466e+01
3.899999999999999911e+00 1.327438461132107506e+01
3.899999999999999911e+00 1.367768298546614858e+01
3.899999999999999911e+00 1.368696117429205117e+01
3.899999999999999911e+00 1.368696117429235315e+01
3.899999999999999911e+00 1.391430375207822934e+01
3.899999999999999911e+00 1.391430375208037162e+01
3.899999999999999911e+00 1.430844197601448897e+01
3.899999999999999911e+00 1.430844197601614454e+01
3.899999999999999911e+00 1.433353285077483719e+01
3.899999999999999911e+00 1.433353285077533457e+01
3.899999999999999911e+00 1.438572783951966372e+01
3.899999999999999911e+00 1.438572783952009004e+01
1.199999999999999956e+00 0.000000000000000000e+00
1.199999999999999956e+00 2.793321129956893856e-13
1.199999999999999956e+00 1.161394447144736830e-02
1.199999999999999956e+00 1.244611578965705867e+01
1.199999999999999956e+00 1.244611578965758270e+01
1.199999999999999956e+00 1.254376300432207358e+01
1.199999999999999956e+00 1.254376300432221214e+01
1.199999999999999956e+00 1.264876732160224826e+01
1.199999999999999956e+00 1.264876732160291795e+01
1.199999999999999956e+00 1.277028668924255150e+01
1.199999999999999956e+00 1.277028668924268295e+01
1.199999999999999956e+00 1.283437747256641792e+01
1.199999999999999956e+00 1.459351736146739142e+01
1.199999999999999956e+00 1.459351736146788880e+01
1.199999999999999956e+00 1.460871405255791444e+01
1.199999999999999956e+00 1.460871405255890920e+01
1.199999999999999956e+00 1.475351039872809622e+01
1.199999999999999956e+00 1.475351039872812819e+01
1.199999999999999956e+00 1.487627809076072793e+01
1.199999999999999956e+00 1.487627809076082208e+01
1.000000000000000056e-01 0.000000000000000000e+00
1.000000000000000056e-01 3.338995746560158295e-14
1.000000000000000056e-01 2.530394560551485483e-09
2.899999999999999911e+00 0.000000000000000000e+00
2.899999999999999911e+00 5.826450433232821524e-13
2.899999999999999911e+00 1.561300550551905530e+00
2.899999999999999911e+00 6.014404352083582594e+00
2.899999999999999911e+00 6.014404352084092409e+00
2.899999999999999911e+00 6.695146992763369553e+00
2.899999999999999911e+00 6.695146992764749783e+00
2.899999999999999911e+00 7.451266571563010643e+00
2.899999999999999911e+00 7.451266571563731844e+00
2.899999999999999911e+00 9.086375950479911978e+00
2.899999999999999911e+00 9.086375950480196195e+00
2.899999999999999911e+00 9.889234548373060818e+00
2.899999999999999911e+00 1.090080146231486324e+01
2.899999999999999911e+00 1.090080146231522562e+01
2.899999999999999911e+00 1.125401025185047033e+01
2.899999999999999911e+00 1.125401025185098547e+01
2.899999999999999911e+00 1.161368979861921602e+01
2.899999999999999911e+00 1.175153404144340463e+01
2.899999999999999911e+00 1.175153404144348990e+01
2.899999999999999911e+00 1.181868578206398546e+01
2.899999999999999911e+00 1.181868578206487896e+01
2.899999999999999911e+00 1.198588355242855386e+01
2.899999999999999911e+00 1.198588355242871017e+01
2.899999999999999911e+00 1.213196559545569997e+01
2.899999999999999911e+00 1.239166124050568030e+01
2.899999999999999911e+00 1.239166124050617768e+01
2.899999999999999911e+00 1.252050191392067546e+01
2.899999999999999911e+00 1.252050191392181233e+01
2.899999999999999911e+00 1.257877580803740614e+01
2.899999999999999911e+00 1.257877580803864959e+01
2.899999999999999911e+00 1.258322436831627833e+01
2.899999999999999911e+00 1.258322436831687341e+01
2.899999999999999911e+00 1.363669836290650395e+01
2.899999999999999911e+00 1.363669836290714876e+01
2.899999999999999911e+00 1.377430808009539831e+01
2.899999999999999911e+00 1.377430808009625451e+01
2.899999999999999911e+00 1.404293860638587432e+01
2.899999999999999911e+00 1.404293860638625091e+01
2.899999999999999911e+00 1.469742957390180749e+01
2.899999999999999911e+00 1.469742957390213078e+01
2.899999999999999911e+00 1.473286377503818123e+01
2.899999999999999911e+00 1.473286377503830380e+01
2.799999999999999822e+00 0.000000000000000000e+00
2.799999999999999822e+00 2.522426711948355660e-13
2.799999999999999822e+00 1.342737371271251590e+00
2.799999999999999822e+00 6.188518345803242227e+00
2.799999999999999822e+00 6.188518345803291965e+00
2.799999999999999822e+00 6.766436253977095916e+00
2.799999999999999822e+00 6.766436253977291315e+00
2.799999999999999822e+00 7.564594972171573062e+00
2.799999999999999822e+00 7.564594972171638787e+00
2.799999999999999822e+00 9.090665873870547031e+00
2.799999999999999822e+00 9.090665873870655389e+00
2.799999999999999822e+00 9.835900323363873099e+00
2.799999999999999822e+00 1.091418751355421080e+01
2.799999999999999822e+00 1.091418751355440975e+01
2.799999999999999822e+00 1.109174377438949932e+01
2.799999999999999822e+00 1.109174377438985459e+01
2.799999999999999822e+00 1.163165875088742141e+01
2.799999999999999822e+00 1.172616228961160445e+01
2.799999999999999822e+00 1.172616228961201834e+01
2.799999999999999822e+00 1.183291094976798696e+01
2.799999999999999822e+00 1.183291094976826230e+01
2.799999999999999822e+00 1.193155302533414996e+01
2.799999999999999822e+00 1.193155302533423878e+01
2.799999999999999822e+00 1.210185257272659065e+01
2.799999999999999822e+00 1.241587513506635432e+01
2.799999999999999822e+00 1.241587513506661899e+01
2.799999999999999822e+00 1.245711096893351666e+01
2.799999999999999822e+00 1.245711096893419167e+01
2.799999999999999822e+00 1.251153094794539555e+01
2.799999999999999822e+00 1.251153094794615228e+01
2.799999999999999822e+00 1.257034124817923271e+01
2.799999999999999822e+00 1.257034124817936060e+01
2.799999999999999822e+00 1.357600058151276379e+01
2.799999999999999822e+00 1.357600058151365729e+01
2.799999999999999822e+00 1.370817769076939108e+01
2.799999999999999822e+00 1.370817769076948167e+01
2.799999999999999822e+00 1.401919713797827072e+01
2.799999999999999822e+00 1.401919713797835421e+01
2.799999999999999822e+00 1.455802257678486988e+01
2.799999999999999822e+00 1.455802257678630873e+01
2.799999999999999822e+00 1.458752170389085201e+01
2.799999999999999822e+00 1.458752170389133163e+01
2.799999999999999822e+00 1.487403456651545497e+01
2.799999999999999822e+00 1.487403456651609623e+01
2.799999999999999822e+00 1.491392325328143365e+01
2.799999999999999822e+00 1.491392325328181734e+01
2.799999999999999822e+00 1.491562100918192435e+01
2.799999999999999822e+00 1.491562100918246969e+01
1.500000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 5.790923296444816515e-13
1.500000000000000000e+00 4.551723174187216614e-02
1.500000000000000000e+00 1.097076919200491574e+01
1.500000000000000000e+00 1.097076919200512890e+01
1.500000000000000000e+00 1.110776138397452684e+01
1.500000000000000000e+00 1.110776138397471158e+01
1.500000000000000000e+00 1.137606415444158614e+01
1.500000000000000000e+00 1.137606415444161279e+01
1.500000000000000000e+00 1.164506044212664548e+01
1.500000000000000000e+00 1.164506044212689240e+01
1.500000000000000000e+00 1.176883075950409463e+01
1.500000000000000000e+00 1.313014486784031476e+01
1.500000000000000000e+00 1.313014486784175006e+01
1.500000000000000000e+00 1.358164046095074440e+01
1.500000000000000000e+00 1.358164046095075861e+01
1.500000000000000000e+00 1.384689064799345815e+01
1.500000000000000000e+00 1.384689064799441738e+01
1.500000000000000000e+00 1.405503137836539196e+01
1.500000000000000000e+00 1.405503137836586092e+01
1.500000000000000000e+00 1.449361977295419557e+01
1.500000000000000000e+00 1.449361977295474446e+01
1.500000000000000000e+00 1.449946932623085516e+01
1.500000000000000000e+00 1.449946932623119800e+01
1.500000000000000000e+00 1.453092020072494250e+01
1.500000000000000000e+00 1.458945446248456967e+01
1.500000000000000000e+00 1.458945446248502975e+01
1.500000000000000000e+00 1.465640153419132830e+01
1.500000000000000000e+00 1.465640153419141534e+01
1.500000000000000000e+00 1.468465574199688106e+01
1.500000000000000000e+00 1.483199640212624359e+01
3.700000000000000178e+00 0.000000000000000000e+00
3.700000000000000178e+00 5.542233338928781450e-13
3.700000000000000178e+00 3.731561199854006361e+00
3.700000000000000178e+00 5.409658956895682991e+00
3.700000000000000178e+00 5.409658956895874837e+00
3.700000000000000178e+00 7.144193504505022219e+00
3.700000000000000178e+00 7.144193504505892633e+00
3.700000000000000178e+00 7.291481882592535158e+00
3.700000000000000178e+00 7.291481882592865560e+00
3.700000000000000178e+00 9.777251676760627674e+00
3.700000000000000178e+00 9.777251676760997157e+00
3.700000000000000178e+00 1.091013240098516235e+01
3.700000000000000178e+00 1.154628736500119146e+01
3.700000000000000178e+00 1.154628736500210806e+01
3.700000000000000178e+00 1.242940421115901373e+01
3.700000000000000178e+00 1.242940421115914518e+01
3.700000000000000178e+00 1.250282354917707650e+01
3.700000000000000178e+00 1.283812035963192955e+01
3.700000000000000178e+00 1.283812035963195797e+01
3.700000000000000178e+00 1.297487900458526866e+01
3.700000000000000178e+00 1.297487900458767029e+01
3.700000000000000178e+00 1.322629722202454161e+01
3.700000000000000178e+00 1.322629722202616875e+01
3.700000000000000178e+00 1.323712667757241945e+01
3.700000000000000178e+00 1.351563199513600111e+01
3.700000000000000178e+00 1.351563199513608993e+01
3.700000000000000178e+00 1.356667060775175315e+01
3.700000000000000178e+00 1.356667060775196632e+01
3.700000000000000178e+00 1.385144879390948702e+01
3.700000000000000178e+00 1.385144879390960782e+01
3.700000000000000178e+00 1.393043835628350635e+01
3.700000000000000178e+00 1.393043835628473204e+01
3.700000000000000178e+00 1.493461094115431465e+01
3.700000000000000178e+00 1.493461094115448873e+01
4.000000000000000222e-01 0.000000000000000000e+00
4.000000000000000222e-01 2.446931546273845015e-13
4.000000000000000222e-01 1.220070195184774775e-05
2.500000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 2.398081733190338127e-13
2.500000000000000000e+00 7.927692769950684948e-01
2.500000000000000000e+00 6.886780938072305069e+00
2.500000000000000000e+00 6.886780938072725178e+00
2.500000000000000000e+00 7.219862593696071862e+00
2.500000000000000000e+00 7.219862593696833919e+00
2.500000000000000000e+00 8.069446318184102296e+00
2.500000000000000000e+00 8.069446318185363509e+00
2.500000000000000000e+00 9.267502414368529173e+00
2.500000000000000000e+00 9.267502414368678387e+00
2.500000000000000000e+00 9.834818883706802239e+00
2.500000000000000000e+00 1.085378611247786296e+01
2.500000000000000000e+00 1.085378611247851843e+01
2.500000000000000000e+00 1.112444347238211861e+01
2.500000000000000000e+00 1.112444347238302100e+01
2.500000000000000000e+00 1.184776549068142337e+01
2.500000000000000000e+00 1.184776549068304163e+01
2.500000000000000000e+00 1.189713069089333075e+01
2.500000000000000000e+00 1.195307291233979186e+01
2.500000000000000000e+00 1.195307291234070846e+01
2.500000000000000000e+00 1.202976508024054425e+01
2.500000000000000000e+00 1.202976508024124769e+01
2.500000000000000000e+00 1.220440156941066334e+01
2.500000000000000000e+00 1.246022310255484022e+01
2.500000000000000000e+00 1.246022310255511378e+01
2.500000000000000000e+00 1.249048351060063844e+01
2.500000000000000000e+00 1.249048351060091200e+01
2.500000000000000000e+00 1.266436241941832819e+01
2.500000000000000000e+00 1.266436241941914176e+01
2.500000000000000000e+00 1.273816960304513302e+01
2.500000000000000000e+00 1.273816960304530710e+01
2.500000000000000000e+00 1.357558663821869516e+01
2.500000000000000000e+00 1.357558663822023348e+01
2.500000000000000000e+00 1.367062720338614312e+01
2.500000000000000000e+00 1.367062720338656057e+01
2.500000000000000000e+00 1.413474896655982782e+01
2.500000000000000000e+00 1.413474896655995394e+01
2.500000000000000000e+00 1.422356572884016579e+01
2.500000000000000000e+00 1.422356572884091008e+01
2.500000000000000000e+00 1.443684701964140871e+01
2.500000000000000000e+00 1.443684701964313710e+01
2.500000000000000000e+00 1.445779265956564075e+01
2.500000000000000000e+00 1.445779265956711335e+01
2.500000000000000000e+00 1.459214921215095551e+01
2.500000000000000000e+00 1.459214921215264837e+01
2.500000000000000000e+00 1.460424961617358441e+01
2.500000000000000000e+00 1.460424961617387574e+01
2.500000000000000000e+00 1.487458618343270622e+01
2.500000000000000000e+00 1.487458618343353578e+01
2.500000000000000000e+00 1.494631418386221000e+01
1.600000000000000089e+00 0.000000000000000000e+00
1.600000000000000089e+00 8.881784197001252323e-16
